Complaint ID,Borough,Complaint Date,Latitude,Longitude,Neighborhood
501459090,BROOKLYN,12/27/2019,40.61019770600007,-73.97325954999997,Bensonhurst
650095553,BROOKLYN,12/27/2019,40.68712865400005,-73.94924320699994,Bedford Stuyvesant
680251509,BRONX,12/27/2019,40.854120099000056,-73.88880988799998,Belmont
108936045,BROOKLYN,12/27/2019,40.650612315000046,-74.002812394,Sunset Park
343853099,BRONX,12/27/2019,40.86538640100008,-73.86977391399995,Williamsbridge
236601972,BROOKLYN,12/27/2019,40.68041746400007,-73.97295017499994,Prospect Heights
496145442,MANHATTAN,12/27/2019,40.814414915000036,-73.94053357099993,Harlem
990775906,MANHATTAN,12/28/2019,40.752569268000045,-74.00600732199997,Chelsea
952667389,STATEN ISLAND,12/28/2019,40.64472613100002,-74.07748315899995,St. George
797669240,BROOKLYN,12/28/2019,40.71163617000008,-73.96218118699994,Williamsburg
748933995,STATEN ISLAND,12/28/2019,40.51158633800003,-74.24930372699998,Tottenville
453097058,BROOKLYN,12/28/2019,40.65705785700004,-73.91771190699995,East Flatbush
228782903,BROOKLYN,12/28/2019,40.675878152000045,-73.96481519499997,Prospect Heights
668273550,STATEN ISLAND,12/28/2019,40.63591185300004,-74.16241347799998,Mariner's Harbor
574713578,MANHATTAN,12/28/2019,40.736012913000025,-73.99361818499993,Greenwich Village
706541080,BROOKLYN,12/28/2019,40.695017076000056,-73.94913622899995,Bedford Stuyvesant
230503458,BROOKLYN,12/28/2019,40.70615003000006,-73.92446452899995,Williamsburg
102699004,BRONX,12/28/2019,40.856183319000024,-73.90314684299993,Tremont
737807978,STATEN ISLAND,12/28/2019,40.629574838000046,-74.10815653599997,West Brighton
807864052,QUEENS,12/28/2019,40.75559561000005,-73.73810566199995,Douglaston-Little Neck
588686425,BRONX,12/28/2019,40.81745048400006,-73.82100066899994,Throggs Neck
415627844,BROOKLYN,12/28/2019,40.656693553000025,-73.96066977199997,Prospect Lefferts Gardens
358103910,BROOKLYN,12/28/2019,40.69734105600002,-73.92714678499993,Bushwick
211341654,MANHATTAN,12/28/2019,40.72205265600008,-73.98821526699999,Lower East Side
239378231,MANHATTAN,12/28/2019,40.752530799000056,-73.99322318999998,Garment District
229815468,BRONX,12/28/2019,40.88566689000004,-73.90998252399999,Spuyten Duyvil
397558322,BROOKLYN,12/28/2019,40.69152616000007,-73.95011972299993,Bedford Stuyvesant
450330880,STATEN ISLAND,12/28/2019,40.628937490000055,-74.16230283699997,Mariner's Harbor
371719952,QUEENS,12/28/2019,40.75315858100004,-73.91162336299993,Astoria
161289016,MANHATTAN,12/28/2019,40.77818144200006,-73.94548368399995,Upper East Side
508074205,BRONX,12/28/2019,40.90611527700002,-73.900552582,North Riverdale
123735504,BROOKLYN,12/28/2019,40.67125445700003,-73.926713851,Crown Heights
337034288,MANHATTAN,12/28/2019,40.74986247200008,-73.98793966299998,Garment District
835609612,QUEENS,12/28/2019,40.73330614600008,-73.84455050899999,Forest Hills
143648862,BRONX,12/28/2019,40.80940028200007,-73.88041355499998,Hunts Point
904913764,BRONX,12/28/2019,40.840048531000036,-73.86607935799998,Parkchester
991165080,QUEENS,12/28/2019,40.735758326000045,-73.72477840599998,Bellerose
887787176,BROOKLYN,12/28/2019,40.664560007000034,-73.86826279099995,East New York
172712026,BRONX,12/28/2019,40.832034391000036,-73.91589467999995,Concourse
830744687,BRONX,12/28/2019,40.820898581000044,-73.84216725399993,Castle Hill
750997560,BROOKLYN,12/28/2019,40.70859235900008,-73.95492218899994,Williamsburg
213445956,QUEENS,12/28/2019,40.758558753000045,-73.82963794999995,Flushing
968574218,MANHATTAN,12/28/2019,40.79634123700004,-73.94119981599994,East Harlem
401502945,QUEENS,12/28/2019,40.68004618900005,-73.848316089,Ozone Park
878394638,BROOKLYN,12/28/2019,40.66649440000003,-73.92162211599998,Brownsville
899096375,MANHATTAN,12/28/2019,40.76512939600008,-73.97493736299998,Midtown
905957329,BROOKLYN,12/28/2019,40.670655072000045,-73.91339091999998,Brownsville
690192884,MANHATTAN,12/28/2019,40.72015111800005,-73.997703442,Little Italy
797186582,QUEENS,12/28/2019,40.709996716000035,-73.89768183599993,Ridgewood
412147341,BROOKLYN,12/28/2019,40.63572050000005,-73.88903686999998,Canarsie
787893431,STATEN ISLAND,12/28/2019,40.623188378000066,-74.14923769499995,Graniteville
174787575,MANHATTAN,12/28/2019,40.732639781000046,-74.00115968599994,Greenwich Village
877187102,BROOKLYN,12/28/2019,40.689299061000035,-73.91172242499994,Bushwick
185808115,MANHATTAN,12/28/2019,40.70854079100008,-74.00138289399997,Financial District
677683026,QUEENS,12/28/2019,40.71048731600007,-73.78400564799993,Jamaica
547851517,BRONX,12/28/2019,40.84190414300008,-73.92344299799998,High Bridge
920488699,MANHATTAN,12/28/2019,40.80191116900005,-73.95539356899997,Harlem
771331840,MANHATTAN,12/28/2019,40.75030214800007,-73.99484393599994,Garment District
194466157,BRONX,12/28/2019,40.81710570200005,-73.90507153199997,Melrose
665173187,QUEENS,12/28/2019,40.68769717500004,-73.80866739999993,Jamaica
858694389,MANHATTAN,12/28/2019,40.79634123700004,-73.94119981599994,East Harlem
186360364,MANHATTAN,12/28/2019,40.715808870000046,-73.99628591999993,Chinatown
401600108,MANHATTAN,12/28/2019,40.805819651000036,-73.94877342399997,Harlem
981219796,QUEENS,12/28/2019,40.75821005500006,-73.92073091599997,Astoria
976286442,BROOKLYN,12/28/2019,40.642804345000044,-73.97944426599996,Kensington
140960151,MANHATTAN,12/28/2019,40.795056725000045,-73.96964593399997,Upper West Side
176922009,STATEN ISLAND,12/28/2019,40.63710750800004,-74.08768537099995,New Brighton
701024255,MANHATTAN,12/28/2019,40.81302882200004,-73.93541578499998,East Harlem
292919752,BRONX,12/28/2019,40.81269913700004,-73.92161973599997,Mott Haven
507640988,MANHATTAN,12/28/2019,40.77704053000008,-73.95382516299998,Upper East Side
449823937,BROOKLYN,12/28/2019,40.68844890700007,-73.963824172,Clinton Hill
451552378,BROOKLYN,12/28/2019,40.695078231000025,-73.92537501299995,Bushwick
133779951,BROOKLYN,12/28/2019,40.70183980300004,-73.91522581599996,Bushwick
967867762,MANHATTAN,12/28/2019,40.767794199000036,-73.99138769399997,Columbus Circle
988347833,BRONX,12/28/2019,40.81943540700007,-73.89492672099993,Longwood
106448091,MANHATTAN,12/28/2019,40.854578297000046,-73.93070145899995,Washington Heights
592525635,BROOKLYN,12/28/2019,40.68774918100007,-73.99904230399994,Cobble Hill
632182475,BRONX,12/28/2019,40.82310129900002,-73.86969046099993,Soundview
593471261,BROOKLYN,12/28/2019,40.61501857500008,-73.910246639,Mill Basin
963394652,MANHATTAN,12/28/2019,40.79115187800004,-73.88438275299995,Rikers Island
498298590,BRONX,12/28/2019,40.818376912000076,-73.84472753599994,Castle Hill
719257729,MANHATTAN,12/28/2019,40.82514828500007,-73.94947035199993,Hamilton Heights
114209407,BROOKLYN,12/28/2019,40.72953646100007,-73.95203961999994,Greenpoint
617497100,MANHATTAN,12/28/2019,40.78948378900003,-73.95739533299998,Central Park
792492961,QUEENS,12/28/2019,40.76265776600008,-73.86343372099998,East Elmhurst
752140006,MANHATTAN,12/28/2019,40.79506071600008,-73.97481774599999,Upper West Side
652608252,BROOKLYN,12/28/2019,40.63171576700007,-73.94648239899993,Flatbush
261109116,BROOKLYN,12/28/2019,40.64285910900003,-73.95858076799993,Flatbush
426182345,BROOKLYN,12/28/2019,40.67617789600007,-73.95130287999996,Crown Heights
777121272,BROOKLYN,12/28/2019,40.66125764100008,-73.89154988399997,East New York
453382716,MANHATTAN,12/28/2019,40.75096922100005,-73.99807773899995,Chelsea
433110333,BROOKLYN,12/28/2019,40.60329094300005,-73.969801535,Gravesend
356203460,MANHATTAN,12/28/2019,40.795056725000045,-73.96964593399997,Upper West Side
300935411,BROOKLYN,12/28/2019,40.70625129200005,-73.94302857299994,Williamsburg
555882763,BROOKLYN,12/28/2019,40.64529423500005,-73.90096654599995,Canarsie
147043347,BROOKLYN,12/28/2019,40.65549669400008,-73.96028124099996,Prospect Lefferts Gardens
900377835,MANHATTAN,12/28/2019,40.71634415200003,-74.00125319299997,Chinatown
834045080,STATEN ISLAND,12/28/2019,40.61811611500008,-74.16710325099997,Bulls Head
429014107,BROOKLYN,12/28/2019,40.648650085000035,-73.95033556299995,Flatbush
181074143,BRONX,12/28/2019,40.88443116000008,-73.833004197,Eastchester
107136458,BROOKLYN,12/28/2019,40.64529423500005,-73.90096654599995,Canarsie
218258897,QUEENS,12/28/2019,40.704884618000044,-73.91271527399994,Ridgewood
292425224,BROOKLYN,12/28/2019,40.650817636000056,-74.01146511199995,Sunset Park
661784411,QUEENS,12/28/2019,40.659976707000055,-73.76790658999995,Springfield Gardens
124914971,MANHATTAN,12/28/2019,40.70148881400007,-74.01254496799999,Financial District
235751098,BRONX,12/28/2019,40.85238190900003,-73.91351577099994,Morris Heights
940925901,STATEN ISLAND,12/28/2019,40.623226819000074,-74.14922697299994,Graniteville
349841588,BROOKLYN,12/28/2019,40.599006944000045,-73.94263754199994,Sheepshead Bay
903470785,QUEENS,12/28/2019,40.766134948000044,-73.87517004399997,East Elmhurst
723807470,BROOKLYN,12/28/2019,40.63415003800003,-73.89144981899994,Canarsie
581504133,BRONX,12/28/2019,40.80385025100002,-73.91046159999998,Port Morris
857062305,BROOKLYN,12/28/2019,40.713257258000056,-73.95195754699995,Williamsburg
563382584,BROOKLYN,12/28/2019,40.69121477200008,-73.98438756299998,Downtown
486630362,MANHATTAN,12/28/2019,40.779660972000045,-73.95191324999998,Upper East Side
141920865,BRONX,12/28/2019,40.827819901000055,-73.92593075599996,Concourse
324017063,BROOKLYN,12/28/2019,40.61069314900004,-73.96792533999997,Ocean Parkway
423146406,MANHATTAN,12/28/2019,40.784507365000024,-73.97548255699995,Upper West Side
581648813,QUEENS,12/28/2019,40.74406578400004,-73.87901872299993,Elmhurst
353237108,STATEN ISLAND,12/28/2019,40.57181979800004,-74.09453956599998,Midland Beach
